ID,VOLA_AFTER,VOLA_PRIOR,VIX,SIZE,BTM,SUE,INDUSTRY
0.txt,1.221934772,1.009430804,20.9,4787.3112,0.649736541,4.2328,3
1.txt,6.022274602,5.679292574,16.43,24115.02089,0.299499781,2.12751,12
2.txt,1.7636771740000001,1.3525622609999999,44.92,1024.8728,0.333602471,13.863620000000001,10
3.txt,0.448670959,1.240895892,24.15,925.87586,0.683577847,1.52499,5
4.txt,3.002283898,2.910738585,44.92,46.5674,0.19692826800000002,0.70596,6
5.txt,1.615999536,2.101384051,21.14,449.34185999999994,0.88233752,1.1963700000000002,6
6.txt,2.041599787,6.079633672000001,16.78,188.89458,0.804224953,2.54636,6
7.txt,1.484722869,0.777018428,23.38,32120.72416,0.321442606,7.5466,10
8.txt,3.335344657,3.779063033,13.28,2195.68425,0.661604991,7.77825,11
9.txt,5.861335552999999,1.975336186,12.87,298.40844,0.39086867399999997,1.8483,5
10.txt,0.8913751129999999,3.294435828,16.7,13314.01,0.480168124,6.00885,11
11.txt,7.3323368570000005,2.213596013,44.92,2884.8501,0.39119019200000005,11.41408,9
12.txt,2.511751954,3.0508492680000003,13.35,6387.83,0.350756836,2.8582400000000003,6
13.txt,4.872590403,2.774650017,32.22,62324.11035,0.46627048,6.8754800000000005,3
14.txt,4.53820707,2.318166514,17.08,543.88054,1.187495858,0.9023200000000001,11
15.txt,4.608231944,1.5487299140000002,9.93,146.07665,0.265522241,0.9766299999999999,10
16.txt,0.5903997,2.191349075,13.77,14020.9251,0.45600600799999996,6.36402,12
17.txt,1.3745840009999999,0.999464116,10.78,1595.36126,0.772562847,1.58251,3
18.txt,1.643753119,1.7037066319999998,10.99,148.94984,0.837856466,2.29497,3
19.txt,1.9812721880000002,15.10694031,15.26,1663.29663,0.490612317,0.08519,7
20.txt,2.834972239,2.9314930789999996,16.6,642.2040000000001,0.643562368,1.4792,6
21.txt,2.430544329,2.122666036,46.42,4028.781,0.908946165,1.4142299999999999,11
22.txt,3.1090338419999997,2.969290485,29.96,2451.8307,0.447703205,1.63299,8
23.txt,2.7059124860000003,1.2830953170000001,24.05,98.9703,0.779808698,4.70098,9
24.txt,1.197746016,4.2820660880000005,13.41,3677.0306100000003,0.23649021899999997,2.2482,7
25.txt,4.740234791000001,2.507928564,24.6,5129.38408,0.5671140060000001,0.5148199999999999,6
26.txt,2.650879483,1.5039469559999998,15.0,1770.73836,0.519418159,4.14497,6
27.txt,4.123398498,1.429187148,14.73,582.2313,0.9997440009999999,1.1546,9
28.txt,0.7632025370000001,2.410955169,14.3,514.1262,0.090010859,2.2867599999999997,9
29.txt,0.596149666,2.112974084,13.48,584.55672,0.093050854,3.03729,7
30.txt,0.950326262,4.457781379,21.57,4293.16504,6.9166747420000005,0.17678,4
31.txt,1.777138059,1.323891151,12.56,3427.67948,0.173764847,7.5,9
32.txt,1.2018029479999999,1.738173344,27.55,10630.46523,0.205808705,4.65195,12
33.txt,1.454418692,1.177383751,32.22,803.83125,0.936386209,7.58893,8
34.txt,4.070527395,1.230760324,16.55,561.14303,0.462021445,0.64043,11
35.txt,2.09402985,4.134274522,10.99,27736.02,0.29893160399999996,2.49608,3
36.txt,0.7272913740000001,0.912027345,39.18,20809.4475,0.576147058,11.19997,4
37.txt,6.8652112999999995,3.190716702,22.27,171.9135,0.347803343,1.97682,6
38.txt,2.797143151,2.681143811,15.52,680.42058,0.594297551,2.0358400000000003,6
39.txt,1.8035041180000002,1.339442758,23.21,1983.3764800000001,0.216799195,0.8096800000000001,12
40.txt,0.647874731,2.4764665480000003,13.69,804.3072400000001,0.383401382,3.40334,12
